id	filename	md5	size	state
c2ea6889-ee07-4339-8474-a0cadb47b7ee	TCGA-AG-3896-01Z-00-DX1.53ea09cb-a2e9-49df-b633-23c83df27253.svs	41cc450168e76cec1ff0b6f49f44c5b5	287197250	released
d181ae2e-b4d9-4688-8c01-9e48aed265fd	TCGA-AF-2690-01Z-00-DX1.22cb3fa6-519d-449f-b486-1f35c9089164.svs	5d6225d7f721a9b6040efdf824f9300a	722835723	released
da3c3cba-40bb-440a-b7ae-ee19c73cedda	TCGA-AG-3878-01Z-00-DX1.e4b3b620-2fde-4b31-b1d9-0f680a19bca5.svs	777b0611e7ad04cdafbc26a69fef0f54	120271390	released
ee961bbb-27bf-4213-be09-54e6bc89a626	TCGA-AG-3898-01Z-00-DX1.c71a46ab-8ce8-48a6-8b06-f5f7995efc95.svs	2851ae107e5b523a294a63c8abccdb7d	310238504	released
df8b4612-3f43-48d5-90f3-d6e4b9770ce4	TCGA-F5-6813-01Z-00-DX1.377f7b93-2607-4fd0-9ad7-a4f074bf949b.svs	876415f3f7dde1635fdc9f7a3a002a61	476406875	released
a3c1b9f6-9fba-4ef0-82cf-4ce53ec77263	TCGA-AG-3728-01Z-00-DX1.998fff2e-fb3f-467d-9241-e5ae8f81e36b.svs	fc57b77707b8ad651377288d6465c62e	274494128	released
221c0f55-ae80-4c4f-a383-8e0d0f014530	TCGA-DC-6156-01Z-00-DX1.102feb5c-0dff-4d7b-9b3b-d66383e8a4ff.svs	55b5dfe789c349571da714e912fbcd76	1133535013	released
3f66b98e-48b9-4f7d-81cd-6a306d5c2472	TCGA-AG-4022-01Z-00-DX1.72c82ee1-ceb4-4247-813a-157e80cb5ab7.svs	d606e03f0ed250e4fbf5d8cbe5595e7f	295324808	released
29ac5c69-649b-4e84-95e4-f436e35f7aa1	TCGA-BM-6198-01Z-00-DX1.8B67F38E-AF4C-4301-9EC5-0AB575F3E728.svs	36caaf6e6b73651b949dc1513992c0bf	1182401769	released
d76f3d2c-f30d-4592-a51d-620e17419222	TCGA-AG-3601-01Z-00-DX1.30ac783e-ba70-49ef-8be7-a37c48559535.svs	ad4b79e3ef61a7b478b2bf5694c6d5f4	300276082	released
