id	filename	md5	size	state
6469207b-2361-4240-a61f-f7acf147b3c3	TCGA-A6-3808-01Z-00-DX1.2b5a7ba3-133c-48be-87c6-199c4af208a0.svs	58fbfd8d4a2f1e36f5fb2091c19acc5c	224700101	released
cfe69305-93bc-49d7-a77b-1f4893a61936	TCGA-AA-A01V-01Z-00-DX1.1AC200C2-F577-421D-B91F-F0A7251C3D90.svs	da8ec41a2b2013de1ff0610a041cf123	1697474132	released
dd8f0b68-ebef-4e41-ab97-c699d4f480c2	TCGA-AZ-6603-01Z-00-DX1.e39d6a8c-a738-4d63-b094-11be49fac828.svs	6a80dece69773a86f6381a9af5920f47	691887763	released
d7efb370-680b-4dc1-88f9-b970f7723002	TCGA-NH-A6GB-01Z-00-DX1.AD90C375-54ED-4EE4-A537-59A2E3FE4BCD.svs	c9d950ab776d0e74e0e2d61c18fb1a7e	1958128915	released
492e492d-6ab5-4fa7-97e1-9b1553d4337b	TCGA-AA-3526-01Z-00-DX1.82876320-2866-4ffa-81d7-3278f7150fc3.svs	229f6d193a2880e067e0d99d41a319c5	356122786	released
856d55ae-703e-42d0-9673-b8e9eef30e7d	TCGA-AA-A00E-01Z-00-DX1.ABFCAF2D-287A-445F-9F32-BD00D1B385C3.svs	2726d9f0b08da1cdeb473f3ec74fde6f	910656942	released
c0787196-1598-4b27-8343-e88a9ac508b2	TCGA-A6-6650-01Z-00-DX1.92f39e59-8784-4dfd-a06f-804bebcdfb26.svs	0befa82a3f52b1754e4a0803d72a1a93	257083599	released
648755d6-712c-4132-8de5-8d5e6e489577	TCGA-CM-4751-01Z-00-DX1.F72E1883-5293-4351-A8DC-C4EA5D8F797C.svs	44d59f43726936df259062bdf960c735	741961715	released
3da5c30e-042f-4dca-965e-0852ca2d8987	TCGA-AA-3811-01Z-00-DX1.369d7946-911e-4e97-8ae7-32ef12b6b106.svs	f7d531a7bd252df867122f1e9d740446	300952708	released
c6e7d6a7-0e29-486f-9fd0-ac61cc0ca2ab	TCGA-AA-A00W-01Z-00-DX1.24770462-BD63-4881-9AE3-9198E9093AD9.svs	143dd57d0a4ec90a7c01f778bd8197e0	594956978	released
5d70b9db-d0cd-4f4c-84bc-e79512b1855f	TCGA-CM-6170-01Z-00-DX1.aa9c41ea-3894-4524-a94c-f44c6c53c2d0.svs	0f0f89de8724389ef6c5a2cabc364a01	420368057	released
5584c8cc-e688-4d73-bdc4-f4fccae5e827	TCGA-CK-6747-01Z-00-DX1.7824596c-84db-4bee-b149-cd8f617c285f.svs	eaa823b97a83ca7c83f59f8fac836cbf	841386755	released
a26bd500-305a-46d3-b82a-bea3bfabd7dd	TCGA-F4-6461-01Z-00-DX1.f7da24ac-4a3c-4814-8d11-3138a954e0df.svs	ff80be3d0a1e3711d59d75bdba03e140	823013559	released
ac5cf94c-5829-4da1-80be-8d24eb798058	TCGA-AA-3862-01Z-00-DX1.67a0bc0d-1fe0-4c90-bb2d-5b12224cc846.svs	c1a690f05869bee51882d35bd0718ec7	261221416	released
2069b5db-6070-4388-97a8-ff4b81f3a4d3	TCGA-NH-A6GA-01Z-00-DX1.33AFBF24-84BD-4E21-8A2D-A565AD3E4376.svs	dbc481d4f1f07d07acd1c025cdd9c3bd	1207460853	released
e76552fe-d059-49d0-bf38-9aa2a9f9262d	TCGA-NH-A6GC-06Z-00-DX1.5F90CBDB-794B-498D-B75F-60EBDE17B22A.svs	ebe5ed320d88f5e6b5c34470f0ded913	1307807919	released
6a00516b-dbb2-4500-a75a-b4684b658a1d	TCGA-AA-3872-01Z-00-DX1.eb3732ee-40e3-4ff0-a42b-d6a85cfbab6a.svs	5b172bc6ec283084e50afc5d9ab14d98	186766650	released
a0ed8caa-e056-4e69-9fe4-4cc2f7619950	TCGA-AZ-6606-01Z-00-DX1.aa79b3d8-8ff1-4171-96dc-94bc7d073d93.svs	58e20b9fe95c8312fc067997366b7e7e	879253119	released
8bb9896d-ef4a-4050-9699-dafe404724a6	TCGA-AA-3952-01Z-00-DX1.6a51a689-74cb-4204-9f7a-f5e3fc55fb2d.svs	5ce699ef00dd294be823d81e8ab2d4d4	150102558	released
f5afc12c-7596-4acc-a4f3-87d00bc0930b	TCGA-G4-6297-01Z-00-DX1.3e37fa8b-c10e-4e44-9933-5bcbbe088fe0.svs	abeaa64f231e2333c29b441a4ca1fd8f	948949867	released
10b38301-6ac8-40a9-ae81-b2ecf64a5d3c	TCGA-AA-3531-01Z-00-DX1.19cdaa4b-5a53-4198-90da-5800827d90bf.svs	95f46e4100b7a99d8c8db993df7533b7	729212438	released
d32f8922-be9a-4841-9131-7d966c18e27d	TCGA-AA-3680-01Z-00-DX1.9eef1b8f-c3c1-486f-83e7-a88182ce892a.svs	1cf7e142ff15cab566257ad4ab7e5902	355788840	released
dc6f26bc-dbc2-410c-a40e-93cd0cb35090	TCGA-NH-A50U-01Z-00-DX1.CA30EE72-7149-44E0-9082-AC1922ADDB09.svs	fa07c1013786806a3e988461fa0895be	1238355055	released
565a064e-24e6-4981-b6d0-03e15fff255d	TCGA-AA-3846-01Z-00-DX1.d6233d91-4d33-424a-99c1-8173fbeb5090.svs	c0241857a29380768d8d9f0191c1d2a6	122294768	released
4f9998f9-6d92-4afc-866d-36ca152652bf	TCGA-D5-6932-01Z-00-DX1.d18111de-f0f5-4637-8534-a2b4396cbb41.svs	875bc60aec4d4b5ad5a05c6bca7f93ff	228188255	released
b4560f3a-5f06-45fe-9720-00c35013ca01	TCGA-CM-6167-01Z-00-DX1.7adf00e3-6768-46bb-814c-b2f04c472cc8.svs	a7d33989d6005f43a4b8aed56c4d9694	728688673	released
a9c39458-963f-4f78-a6f5-89194548eaaf	TCGA-AY-4071-01Z-00-DX1.6C426E14-2DBD-4009-A6B5-B8B7B8F5888C.svs	fb1264ecc6cfdac473587f9f78f5dd17	112945741	released
783dfbbd-fdfb-4d16-a75f-b31183d31730	TCGA-A6-3809-01Z-00-DX1.c26f03e8-c285-4a66-925d-ae9cba17d7b3.svs	006412914dda0b7eb9478e781635d4cd	172517035	released
48680c61-5ca4-42dd-96e8-793216a28ecf	TCGA-AA-A01G-01Z-00-DX1.8A288E53-BA38-4BAC-81B5-2E0E41EA0D85.svs	b583a6a98f9d8891eede115842066115	385414306	released
4b490e3e-5fa9-4656-9a37-9aec8c01133b	TCGA-AA-3516-01Z-00-DX1.0a9d9207-6dc2-44b9-89ea-16418430c484.svs	de390e63015c78a44c72a84573d2dc15	293872406	released
4af04908-2b84-4267-8d26-7dbe8d5c7bff	TCGA-G4-6314-01Z-00-DX1.bea21980-9584-4382-9de3-4c5114edb10d.svs	9f2c2375e01dc43298ba94d72c611192	740128083	released
0aa4157e-39b0-4a6c-933d-1225235c3fc9	TCGA-A6-5662-01Z-00-DX1.82569684-1c31-4346-af9b-c296a020f624.svs	bf19906277f8bc8fd114ecc7d3bbb0ea	94426693	released
2025e793-60a1-48d1-9b88-de0be2fa260d	TCGA-D5-6531-01Z-00-DX1.32241731-5890-424e-96d5-b897e770f03c.svs	0bc16b9691dff042d947267c4e78df5f	526998525	released
17ca9d89-78e9-4788-aa5b-62dd6676dd85	TCGA-AY-6196-01Z-00-DX1.747B47B0-386A-4BA9-A8B7-274F1699D15E.svs	2a0838d7bc660513820e78b4a5bf95af	753956247	released
adac6cfd-c3ba-4af5-a8e5-7e68e027826e	TCGA-CM-5349-01Z-00-DX1.d893eb9a-0321-4052-acfc-8c9a6e463921.svs	7cb8e3aab01ab10f05e9361456e7c87e	713342183	released
affc2acd-30d2-4353-b0ff-4620b672e402	TCGA-CM-6678-01Z-00-DX1.b0e06829-c119-4131-a2ec-22d41d8d6068.svs	d9100074f5ac4e29e37a2954086ba4fe	525522273	released
34ebc858-0f88-44ed-967f-e0886fa56fe9	TCGA-D5-6540-01Z-00-DX1.4ca9e502-959b-4fa8-a748-5fd0878e5c3f.svs	9f83ef7f908b69f38b2834484387a590	564150921	released
39d19b7c-d277-4865-9b94-cf9886f38193	TCGA-AA-3664-01Z-00-DX1.bd07e7ef-0acb-43d8-a4f6-15b3442d2ed5.svs	a7e7fb70a9e19eba4a9bfa96ed23e131	458131871	released
ec1f4d29-4b67-420f-9bba-9138b5d64d4e	TCGA-AA-3544-01Z-00-DX1.96850cbf-2305-4b65-8f06-db801af51cc3.svs	32f627f5a4f2ce15062628d6bf5fae75	361541756	released
0d442694-c9c8-4e9b-93ae-7a660d689681	TCGA-AY-6197-01Z-00-DX1.AD42F96E-6583-4AB8-A6BD-C8334EA9DE14.svs	9a4b83cd4fa0f28e61545a65c0949f77	582326955	released
8252e9a7-85b2-4631-8ad5-fc0f084eea6c	TCGA-NH-A50T-01Z-00-DX1.4624B690-C0DE-42BD-852C-6EBABF40255F.svs	c9cf19738818cdcefdf1da2f252deeda	1631868451	released
be6b9882-d244-449b-8b23-329d2ef6e261	TCGA-AZ-6605-01Z-00-DX1.4d634c3e-a1c0-42e1-a4d6-5980eddfa0ca.svs	f056e846ea7cbe1f10a3a69250d0609e	864007365	released
6f8b50b1-8916-4cd9-a9d1-f41f998bc31e	TCGA-WS-AB45-01Z-00-DX1.1FD99E7A-830F-40DC-98CD-53C62C678AC6.svs	8fad7145960cdb23ff52a15ab50ef849	1165858209	released
2fd860a1-534f-49f7-8169-ece8748480ac	TCGA-AA-3538-01Z-00-DX1.60d0b039-25d6-4b71-a36f-5b2764a983ef.svs	7d43cda4a4e5e8faea9f2699746c25f2	151974892	released
5a5f99a0-6a33-4a82-98fa-1e4928261ad0	TCGA-A6-A5ZU-01Z-00-DX1.8E7A136C-46C4-4233-A747-EBDC4F3227FB.svs	eb16f696d216e8e40b42ee670b8247f1	237676301	released
f667f664-8779-45da-b966-f45682656546	TCGA-G4-6310-01Z-00-DX1.b88472d4-3adc-4e4d-b0f2-0dc195a3d7df.svs	444e21c94ed51a680984229f77966e2b	664957525	released
33c26ba4-b3f3-424c-bdc6-66e823704457	TCGA-F4-6459-01Z-00-DX1.80a78213-1137-4521-9d60-ac64813dec4c.svs	b6aee6cceaae83896bb5c6b2b04135b2	788730317	released
90448510-59aa-4583-9922-cd70332cbe62	TCGA-5M-AATE-01Z-00-DX1.483FFD2F-61A1-477E-8F94-157383803FC7.svs	3102243d7fee6b1ea41772f1fa0fe658	2762599587	released
b10a1329-ba55-4045-ad1b-b65b4139f923	TCGA-A6-2684-01Z-00-DX1.be127778-e160-4ae3-9e5a-13a16eae2e7a.svs	1eded4535bac69f4abd4193529f44587	172005717	released
9deccde8-292c-4355-b42b-f8a520a5cf35	TCGA-A6-6654-01Z-00-DX1.ed491b61-7c44-4275-879b-22f8007b5ff1.svs	6d6e58f2b499561ac29eecaa2efc9619	348456783	released
9a709111-9cdb-432c-993f-29b3250c76ce	TCGA-F4-6806-01Z-00-DX1.483d0fc7-220c-4b62-8c9e-a1004ce7450c.svs	5b6dbfd7c735b3c6fa7e004137f83d39	548674957	released
3b88b579-a27a-4ac4-8533-48dded7d11c7	TCGA-AA-3530-01Z-00-DX1.298325a7-f5f8-4b5e-b3da-dd9dab6e4820.svs	e42be462d3859ccc2b6aa4d573358799	490887204	released
0a04776e-b80a-4536-b311-1375768989a2	TCGA-AA-A02Y-01Z-00-DX1.D1EE29E8-A27E-4035-807B-324A63239116.svs	61def54e0196214427f40346e1214dff	778158250	released
13ea8b59-6628-4faa-8047-6628704c4636	TCGA-AA-3986-01Z-00-DX1.db60e495-c0eb-416c-b65b-55ce62ed10b0.svs	67ab4b2b5a07ff03fc09f7471184e48c	668432404	released
20a11849-e57a-47ad-854c-757e17cc277b	TCGA-AA-3867-01Z-00-DX1.dbc11b4b-732c-4b0a-aaef-ba94b0218fe6.svs	92e09946b141030b1bf3b325dc5f834e	195279618	released
50ea9197-2b1e-4485-b5ce-4aef7d327392	TCGA-T9-A92H-01Z-00-DX1.9BA130C5-CAEF-4452-BB1F-61963B0DA3C5.svs	a62011a527fe0f4bf73de9e5b4c2a857	718633496	released
953f063b-5ba7-4444-abf1-b949a153a533	TCGA-T9-A92H-01Z-00-DX2.43894C88-2096-4932-9E9D-17BDCACF988C.svs	ada28a940d8d9249ee2ec37739d27a15	648256730	released
e1184038-97d8-45b5-b585-30a79cc9860a	TCGA-AZ-4616-01Z-00-DX1.0a0f6eaa-4db6-4479-a9df-f09387f555b1.svs	ababf71fc4bab7236d0b3f2be5039e78	785672629	released
b8e25c65-06e3-4dc7-8b8c-7a0dad244425	TCGA-AA-3542-01Z-00-DX1.db284d9a-bde5-471c-ac37-5f3216d0f077.svs	fea80a45a77ae531a4a14e3a748df73e	288551414	released
f365e708-89c7-4a06-ba0d-1f609133293f	TCGA-DM-A0XD-01Z-00-DX1.DAFA56D4-85CB-4FB1-B5BB-E993CA522FF8.svs	40556df18aaceee440076687496d6818	268034261	released
5fa14139-2603-4f30-a508-ec94432dc9e6	TCGA-AA-3667-01Z-00-DX1.28dc3612-1c43-4727-a134-698cc4315dc3.svs	ffa499c90d821cab321fd477c0eb7823	325517958	released
27c00bfa-0a20-4c7f-9d72-849e19df40f0	TCGA-AM-5821-01Z-00-DX1.0851bd43-6c23-4db3-a50a-7c9fb5080150.svs	37d11bee14b5bf13a1ae20c3d9ab8a74	433253901	released
5aa1b035-0a9e-4245-abba-2ad841f6955a	TCGA-AA-3548-01Z-00-DX1.41949ab5-79f2-4729-9d54-c0fca1daf124.svs	1d052698ba7dd7fbaef27d8c2327cb6d	343954138	released
acf9470e-04dd-481b-9510-97a3a149f02b	TCGA-AA-3848-01Z-00-DX1.bb018b1c-7748-4865-b00f-42edc35b5047.svs	3e99112599c0077672c4e00d3bd1f898	369381732	released
2b390d62-0118-4de4-aca4-070db4768baa	TCGA-AA-A00N-01Z-00-DX1.79D0A833-8411-486B-9BED-7B5E203D02F2.svs	1041662334951524e886b483f6901655	426997170	released
80b94ae5-0f01-41cd-9ce9-beab720083f3	TCGA-D5-5539-01Z-00-DX1.9c46fe78-2adb-4f49-9141-cda135c2c90b.svs	e2feacb77ff7f66242d0857ce6d7897a	503817113	released
b2e3452c-dc6b-4b67-b12a-6c9c1925242e	TCGA-AA-3520-01Z-00-DX1.3e2b41c2-eb21-4f68-8946-92b59cc1f969.svs	4e488eb899fedf45d500bdffd431e230	196534970	released
2d2f1b7a-df6b-4ea8-a2d6-7c21ffe8c707	TCGA-DM-A0XF-01Z-00-DX1.6FD3D3CF-A1E2-4F4E-BF02-F81B1A1061CC.svs	3a2b09a54179cbf50da80e0db348f7a9	1198277401	released
9aead4b6-3459-4816-9dea-b248eb320069	TCGA-A6-6140-01Z-00-DX1.f34d99be-25dd-4811-9155-0dbb53e849ac.svs	bb3e4cce645f6d9fbd691ad6bee03572	273385337	released
9a575ecb-25b9-407b-89e9-ee6846339c37	TCGA-AA-3712-01Z-00-DX1.00E0ACE2-8CC5-4063-9C65-3CDD7F21B189.svs	8e433879b07a661fc2738d6225c5eb90	8597952	released
56a45464-59b0-490e-8dd5-d50248fa093f	TCGA-AA-A02O-01Z-00-DX1.CB9BE08B-D78B-46B3-8339-A3DADD24439F.svs	ca54f2686be4ce43def291d258273b47	1037851442	released
80d752c3-1cfa-4eb1-baf5-ec407843eec2	TCGA-AA-3842-01Z-00-DX1.8bbbd702-2b17-4c3e-a8bd-55c3ae8aaba3.svs	f8dde3fb9b35c8e220e8b8a572fca998	200287850	released
d834d14d-3a61-4d1d-b527-871ab51d878b	TCGA-AA-A024-01Z-00-DX1.5F24A31C-2F11-4768-9906-7BAB578C742D.svs	4bd0faab43612a4145ae59c09f839966	1122599358	released
0022b650-d9ed-4440-ac6f-deffefca0939	TCGA-A6-6649-01Z-00-DX1.9439bce8-5715-4d76-a5d8-c6cbe1b79435.svs	9db1a5203e1e20bcccfea9f3cce4961f	149890641	released
cf213c6d-3805-45cc-a27e-69904a088a29	TCGA-AA-3549-01Z-00-DX1.2fe99d54-c61b-4867-bafe-efe4f291c429.svs	ff93fa409218357399aa85175c9c2f94	315603106	released
e329f6c8-9bb9-4717-83ce-ae378a509b83	TCGA-AA-3553-01Z-00-DX1.45a24cd4-6eb2-4f20-9453-05476da34cdd.svs	deb9c1934a54664efcf8905198403332	347790740	released
9c4eba62-957e-45c1-8d79-6c4a6f8942f5	TCGA-A6-5667-01Z-00-DX1.1973b80d-b6b8-4ed8-9bc1-3aef51fbd9e6.svs	c53516d4416d6a73d25c915a177c0a74	85349859	released
3d4e03c1-1beb-4fa8-8e76-d2bb5626b75b	TCGA-AA-A00Q-01Z-00-DX1.D427F78B-6640-400B-B8F8-B5568B1C4321.svs	8719b976957942e5fc743557858f5ee6	640523462	released
88a6a5e3-0bd3-4d18-82de-2c4186e7175a	TCGA-AA-3875-01Z-00-DX1.016712a0-4226-4086-857c-3d6d85f186e3.svs	a420228c76239436983eca637ff9287d	232153032	released
ae63964e-1799-4c8e-ad46-09707f1fcae8	TCGA-AA-3527-01Z-00-DX1.20035f6a-71f8-4d1f-a356-64001be9c2dd.svs	e34e7c35389d51dd615be34e48cdaf51	227398282	released
46173b4f-0336-4c8e-9a6b-cc4ce0b9e75d	TCGA-A6-2674-01Z-00-DX1.d301f1f5-6f4a-49e6-9c93-f4e8b7f616b8.svs	640fde7dbdceb31572dc3df3aaf234a5	103852457	released
42fad09d-216f-4e03-896c-2c7be5e5e4e9	TCGA-G4-6627-01Z-00-DX1.f23c6977-d0cb-4bc8-b373-4b1b73c331cc.svs	825e2fb4d5721ad2a7e1073409e7ad2a	900624421	released
2b2ba75b-ae19-49d4-b14d-1f49a0fa9613	TCGA-AA-3534-01Z-00-DX1.a49495e0-93b2-41fa-9229-6375533578b5.svs	66c00bcb00202fc03b6cb8f108cc6d71	206804284	released
4a644f46-af06-44ac-a7c6-f13258d70357	TCGA-AA-3971-01Z-00-DX1.348b1114-a9d5-4a37-8dfd-3bc8738fec35.svs	0a96825b278ba18ccb01eac5c5627af9	547416550	released
17889984-8a8f-4495-980f-a144af7dd9d9	TCGA-AA-A02W-01Z-00-DX1.3D9DD408-C389-411D-B4AC-6DC531D35BAD.svs	198b1da448709ab920021a4b490f198c	415303056	released
7fe47f9f-3250-4e29-ac95-42fb09bc3a53	TCGA-AA-3975-01Z-00-DX1.e73492da-b6fb-4c56-ab30-53b0b7041e04.svs	b8e97bd29d9aad7f4d577f43b61dfc9c	386018496	released
544845fb-680d-45e5-996e-72f6b784dc66	TCGA-CM-4746-01Z-00-DX1.c83b9795-bf45-4100-9052-a7e485e0f770.svs	9216209adc32369e63dc5fb467c103d3	1064067427	released
bc05e37e-7a9a-4d00-b1f7-1bd9049c9995	TCGA-A6-3810-01Z-00-DX1.2940ca70-013a-4bc3-ad6a-cf4d9ffa77ce.svs	3db2a25e7e3551ecd4b290fd786dda0b	58846445	released
e45c43d1-b45c-4f2c-b50b-aef345a69178	TCGA-G4-6586-01Z-00-DX1.f19ef98f-9540-4b8d-bd13-5891e79b2576.svs	38a72717d4bf9229a86469908979a2e0	676419285	released
b551647b-5732-46c6-bb95-062f40eae40d	TCGA-AA-A022-01Z-00-DX1.2673F279-5DF6-4E71-92B2-A589DD8F583B.svs	d194fe22f6452db4554d963c5221f207	749369164	released
73ee421a-6b0e-4887-88aa-787eafbecfd2	TCGA-AA-A01I-01Z-00-DX1.D24F43B2-F46E-4F7F-85A0-91F3A04E0785.svs	38ccdcae57487c87862430a180a89431	355705024	released
